source_id, ra, dec
SC504 188.031421 13.330369
R14391 187.358500 12.984350
R20445 187.300370 13.137580
R14317 187.341250 12.982260
SC457 188.233150 12.825417
R19452 187.372460 13.114750
SC70 187.902558 12.943128
SC179 187.300654 13.243403
SC379 187.622825 13.336086
SC208 187.653392 13.150047
SC176 187.522517 12.980450
SC59 187.891704 13.464630
GC165 187.235428 13.249175
SC386 188.229575 12.895419
SC103 187.478888 12.995505
SC177 187.819321 12.942611
SC159 187.853908 13.293056
SC169 188.368092 13.328200
SC211 188.209163 12.893153
SC487 187.857271 13.371939
SC429 187.768750 13.372531
SC152 187.638758 13.361153
SC508 187.843379 12.959894
SC68 188.369808 13.151783
SC111 187.921113 12.917316
SC412 188.117796 13.280064
M87UCD-14 187.768133 13.178486
SC255 187.636183 12.907598
SC133 187.778179 12.925095
SC285 188.201725 12.871300
H77428 187.655196 12.769234
SC249 188.097254 13.196706
SC500 187.787146 13.448816
SC206 187.942629 12.923300
SC192 188.146363 13.110681
SC174 187.846771 13.017403
SC270 187.521875 13.469063
H70848 187.727908 12.682950
R16488 187.395629 13.039333
SC415 188.307096 12.956989
SC383 187.778404 13.403069
SC501 187.744833 13.228291
SC168 187.443096 13.087039
SC65 187.602538 13.132614
H80897 187.659358 12.815942
SC290 188.001808 12.907461
R12125 187.405271 12.924581
SC46 187.680842 12.764280
SC139 188.012754 13.138783
SC331 187.766646 13.199725
SC327 187.675354 13.325977
SC316 187.677067 13.028736
H72698 187.752888 12.706391
SC222 187.862779 12.887783
SC233 188.034538 12.997408
